c,p
23.228200,19.613180
17.297200,14.001500
17.371800,14.450760
18.143600,15.047480
21.573400,17.544180
268.866000,233.456460
229.257000,186.572600
158.701300,119.713560
263.188900,216.589520
227.870700,184.345920
216.950467,183.995140
173.616733,131.773600
226.079733,191.952420
259.881600,212.398360
187.795733,155.795500
231.925000,205.661400
254.944750,225.113740
166.056250,129.405960
183.663350,148.896740
129.046450,98.492840
137.885960,110.220300
148.751440,127.828100
166.331280,114.777680
149.224240,111.022240
173.678680,152.578540
